Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
Витраж_Ритейл;4020;2420;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_130мм;330;2900;0.12;130;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадНавесной_Аквапанель_12,5мм;318;2900;0.01;13;Этаж 01 (отм. -0,150);Секция 6;Навесной фасад
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;390;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;390;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.03;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.04;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
Витраж_Ритейл;4020;2420;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_130мм;330;2900;0.12;130;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадНавесной_Аквапанель_12,5мм;318;2900;0.01;13;Этаж 01 (отм. -0,150);Секция 6;Навесной фасад
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;390;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;390;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.03;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.04;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;540;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;440;0.37;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;605;0.30;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;610;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;535;0.27;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;330;2310;0.11;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
ADSK_Бетон_В25 250;700;440;0.08;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;535;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;605;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
Витраж_Ритейл;4020;2500;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;510;0.42;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
ADSK_Бетон_В25 250;700;510;0.09;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;540;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;440;0.37;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;605;0.30;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;610;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;535;0.27;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;330;2310;0.11;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
ADSK_Бетон_В25 250;700;440;0.08;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;535;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;605;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
Витраж_Ритейл;4020;2500;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;510;0.42;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
ADSK_Бетон_В25 250;700;510;0.09;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;540;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;440;0.37;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;605;0.30;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;610;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;535;0.27;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;330;2310;0.11;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
ADSK_Бетон_В25 250;700;440;0.08;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;535;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;605;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
Витраж_Ритейл;4020;2500;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;510;0.42;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
ADSK_Бетон_В25 250;700;510;0.09;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
Витраж_Ритейл;4020;2420;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_130мм;330;2900;0.12;130;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадНавесной_Аквапанель_12,5мм;318;2900;0.01;13;Этаж 01 (отм. -0,150);Секция 6;Навесной фасад
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;390;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;390;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.03;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.04;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;155;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;540;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;440;0.37;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;605;0.30;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;610;0.02;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;535;0.27;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;330;2310;0.11;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
ADSK_Бетон_В25 250;700;440;0.08;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;535;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;605;0.06;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
Витраж_Ритейл;4020;2500;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;510;0.42;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
ADSK_Бетон_В25 250;700;510;0.09;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;295;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Откос_Тёмный_10мм;3680;80;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
Витраж_ВходныеГруппы;4020;2420;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
ADSK_Бетон_В25 250;700;125;0.02;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;200;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;275;0.03;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Штукатурка_10мм_БелыйЦвет;340;3450;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_130мм;330;2900;0.12;130;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадНавесной_Аквапанель_12,5мм;318;2900;0.01;13;Этаж 01 (отм. -0,150);Секция 6;Навесной фасад
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;950;0.40;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;125;0.10;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;375;0.22;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;380;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3320;200;0.14;150;Этаж 01 (отм. -0,150);Секция 6;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;280;0.01;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;3320;380;0.32;250;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.03;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_ТемныйСерыйЦвет;3680;955;0.04;10;Этаж 01 (отм. -0,150);Секция 6;Штукатурка фасадная
BRU_Витраж_Квартиры;4020;1740;;;Этаж 01 (отм. -0,150);Секция 6;Витраж
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;1055;0.12;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
ADSK_Бетон_В25 250;700;1060;0.19;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
ADSK_Бетон_В25 250;700;380;0.07;250;Этаж 01 (отм. -0,150);Секция 6;Монолитная стена
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;375;0.05;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
BRU_ФасадШтукатурный_Утеплитель_150мм_Цоколь;700;950;0.08;150;Этаж 01 (отм. -0,150);Секция 6;Утепление цоколя навесного
