Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.71;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2280.0;0.06;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;725.0;0.33;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;735.0;0.02;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2280.0;0.64;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.71;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2280.0;0.05;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;725.0;0.33;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;735.0;0.02;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2280.0;0.64;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.71;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2280.0;0.05;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;725.0;0.33;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;735.0;0.02;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2280.0;0.64;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.71;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2280.0;0.06;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;725.0;0.33;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;735.0;0.02;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2280.0;0.64;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 04 (отм. +10,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;445.0;0.20;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;3000.0;455.0;0.01;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;3000.0;2560.0;0.46;150.0;Этаж 04 (отм. +10,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;3000.0;2560.0;0.04;15.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;3000.0;50.0;0.00;10.0;Этаж 04 (отм. +10,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.71;250.0;Этаж 03 (отм. +7,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;2280.0;445.0;0.15;150.0;Этаж 03 (отм. +7,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадНавесной_Утеплитель_170мм;720.0;3450.0;0.42;170.0;Этаж 03 (отм. +7,200);Секция 7;Утепление навесного фасада
BRU_ФасадНавесной_КирпичКлинкерный1НФ_120мм_антрацитово-серый;720.0;3450.0;0.40;160.0;Этаж 03 (отм. +7,200);Секция 7;Навесной фасад. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;2280.0;725.0;0.25;150.0;Этаж 03 (отм. +7,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;2280.0;735.0;0.02;10.0;Этаж 03 (отм. +7,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;2280.0;2280.0;0.40;150.0;Этаж 03 (отм. +7,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_15мм_Бежевая_декоративная_вертикальная;2280.0;2280.0;0.03;15.0;Этаж 03 (отм. +7,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;2280.0;50.0;0.00;10.0;Этаж 03 (отм. +7,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Гладкая_Бежевый цвет;2280.0;40.0;0.00;10.0;Этаж 03 (отм. +7,200);Секция 7;Штукатурка фасадная
BRU_ВнешняяСтена_БлокКерамический_250мм;2820.0;3450.0;1.18;250.0;Этаж 03 (отм. +7,200);Секция 7;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;2280.0;445.0;0.15;150.0;Этаж 03 (отм. +7,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;2280.0;455.0;0.01;10.0;Этаж 03 (отм. +7,200);Секция 7;Штукатурка фасадная
BRU_ФасадНавесной_Утеплитель_170мм;720.0;3450.0;0.42;170.0;Этаж 03 (отм. +7,200);Секция 7;Утепление навесного фасада
BRU_ФасадНавесной_КирпичКлинкерный1НФ_120мм_антрацитово-серый;720.0;3450.0;0.40;160.0;Этаж 03 (отм. +7,200);Секция 7;Навесной фасад. Кладка
BRU_ФасадШтукатурный_Утеплитель_150мм;2280.0;445.0;0.15;150.0;Этаж 03 (отм. +7,200);Секция 7;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;2280.0;455.0;0.01;10.0;Этаж 03 (отм. +7,200);Секция 7;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;2280.0;2560.0;0.18;150.0;Этаж 03 (отм. +7,200);Секция 7;Утепление штукатурного фасада
