Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1510.0;1.39;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2730.0;2.71;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2400.0;2.25;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3885.0;4.03;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.69;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1510.0;1.39;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2730.0;2.74;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2400.0;2.24;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;425.0;0.55;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3885.0;3.78;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;125.0;0.13;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1635.0;1.64;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2730.0;2.74;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2400.0;2.28;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;425.0;0.55;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3885.0;3.78;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 3;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 3;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 3;Внешняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2730.0;2.74;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2400.0;2.27;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;425.0;0.55;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3885.0;3.78;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;4800.0;3.58;250.0;Этаж 01 (отм. -0,150);Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2400.0;2.36;250.0;Этаж 01 (отм. -0,150);Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;4045.0;4.15;250.0;Этаж 01 (отм. -0,150);Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;425.0;0.30;250.0;Этаж 01 (отм. -0,150);Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2730.0;2.73;250.0;Этаж 01 (отм. -0,150);Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1960.0;1.31;250.0;Этаж 01 (отм. -0,150);Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1960.0;1.31;250.0;Этаж 01 (отм. -0,150);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2700.0;2.68;250.0;Этаж 01 (отм. -0,150);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2400.0;2.41;250.0;Этаж 01 (отм. -0,150);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3885.0;3.78;250.0;Этаж 01 (отм. -0,150);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;425.0;0.55;250.0;Этаж 01 (отм. -0,150);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2730.0;2.73;250.0;Этаж 01 (отм. -0,150);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2025.0;1.41;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1900.0;1.25;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2025.0;1.44;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2070.0;2.05;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2150.0;1.50;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;4020.0;2070.0;2.05;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.67;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2690.0;2.70;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2070.0;2.08;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3070.0;3.09;250.0;Этаж 01 (отм. -0,150);Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;11985.0;9.57;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;12065.0;8.28;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3495.0;2.06;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3530.0;2.95;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;2825.0;7150.0;5.05;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;11985.0;9.58;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;2700.0;3900.0;2.53;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Паркинг;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;2700.0;3900.0;2.53;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Паркинг;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;2700.0;1725.0;1.20;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Паркинг;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;2700.0;1725.0;1.20;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Паркинг;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3200.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.00;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3200.0;2.15;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3245.0;2.19;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2480.0;1.82;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2810.0;2.34;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;2625.0;1.02;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2480.0;2.06;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3370.0;2.77;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2825.0;3200.0;0.78;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2825.0;3200.0;1.08;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3070.0;2.61;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;0.92;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2560.0;1.98;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3200.0;2.10;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2560.0;1.88;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3280.0;1.01;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;1.76;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;0.94;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;0.95;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;1.76;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;1.11;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2070.0;1.10;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2435.0;880.0;0.24;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2810.0;2.34;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3035.0;2.55;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.32;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.00;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.32;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3245.0;2.09;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3200.0;2.67;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.32;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2560.0;1.95;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.31;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3280.0;1.00;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2560.0;1.94;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;4835.0;3.41;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.00;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.32;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.30;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.03;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.04;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3035.0;2.55;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2810.0;2.34;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3200.0;1.02;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2825.0;3200.0;1.08;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;650.0;0.27;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;5230.0;3.61;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;5230.0;3.61;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2810.0;2.34;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 2;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2810.0;2.34;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 4;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;3070.0;1.25;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;3070.0;2.63;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;650.0;0.27;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;2690.0;2.30;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;4675.0;3.90;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;775.0;0.76;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;3425.0;1750.0;0.41;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240_внешняя;3425.0;2690.0;2.28;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2435.0;570.0;0.15;120.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 6;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;3070.0;2.03;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;3425.0;5230.0;3.61;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Внутренняя стена. Кладка
